emp_no,first_name,last_name,title,dept_no,dept_name,hire_date,to_date
10001,Georgi,Facello,Senior Engineer,d005,Development,1986-06-26,9999-01-01
10004,Chirstian,Koblick,Senior Engineer,d004,Production,1986-12-01,9999-01-01
10009,Sumant,Peac,Senior Engineer,d006,Quality Management,1985-02-18,9999-01-01
10018,Kazuhide,Peha,Senior Engineer,d004,Production,1987-04-03,9999-01-01
10035,Alain,Chappelet,Senior Engineer,d004,Production,1988-09-05,9999-01-01
10053,Sanjiv,Zschoche,Senior Staff,d007,Sales,1986-02-04,9999-01-01
10058,Berhard,McFarlin,Senior Staff,d001,Marketing,1987-04-13,9999-01-01
10066,Kwee,Schusler,Senior Engineer,d005,Development,1986-02-26,9999-01-01
10067,Claudi,Stavenow,Senior Engineer,d006,Quality Management,1987-03-04,9999-01-01
10070,Reuven,Garigliano,Technique Leader,d008,Research,1985-10-14,9999-01-01
10072,Hironoby,Sidou,Senior Engineer,d005,Development,1988-07-21,9999-01-01
10076,Erez,Ritzmann,Senior Engineer,d005,Development,1985-07-09,9999-01-01
10088,Jungsoon,Syrzycki,Staff,d009,Customer Service,1988-09-02,9999-01-01
10100,Hironobu,Haraldson,Staff,d003,Human Resources,1987-09-21,9999-01-01
10103,Akemi,Birch,Engineer,d005,Development,1986-12-02,9999-01-01
10126,Kayoko,Valtorta,Staff,d009,Customer Service,1985-09-08,9999-01-01
10129,Armond,Peir,Technique Leader,d005,Development,1985-12-10,9999-01-01
10130,Nishit,Casperson,Senior Engineer,d004,Production,1988-06-21,9999-01-01
10134,Diederik,Siprelle,Senior Engineer,d004,Production,1987-12-12,9999-01-01
10138,Perry,Shimshoni,Senior Engineer,d006,Quality Management,1986-09-18,9999-01-01
10150,Zhenbing,Perng,Engineer,d005,Development,1986-11-16,9999-01-01
10153,Heekeun,Majewski,Assistant Engineer,d005,Development,1987-04-08,9999-01-01
10157,Nigel,Aloisi,Senior Engineer,d005,Development,1985-11-02,9999-01-01
10198,Pranav,Furedi,Senior Engineer,d005,Development,1985-08-31,9999-01-01
10215,Xiaobin,Duclos,Senior Staff,d007,Sales,1987-10-19,9999-01-01
10224,Leon,Trogemann,Senior Engineer,d004,Production,1988-01-09,9999-01-01
10233,Lein,Vendrig,Staff,d003,Human Resources,1985-07-05,9999-01-01
10258,Basil,Ishibashi,Senior Engineer,d005,Development,1985-05-17,9999-01-01
10272,Yishai,Cannane,Staff,d002,Finance,1988-05-23,9999-01-01
10282,Hercules,Benzmuller,Engineer,d004,Production,1986-06-04,9999-01-01
10283,Kauko,Birjandi,Senior Engineer,d005,Development,1988-05-25,9999-01-01
10326,Masali,Czap,Staff,d008,Research,1985-05-13,9999-01-01
10340,Djelloul,Laventhal,Staff,d001,Marketing,1987-06-05,9999-01-01
10347,Pradeep,Kaminger,Staff,d008,Research,1985-12-12,9999-01-01
10355,Satyanarayana,Cochrane,Staff,d007,Sales,1987-11-15,9999-01-01
10356,Vasilis,Standera,Senior Staff,d008,Research,1988-08-06,9999-01-01
10364,Nakhoon,Dengi,Senior Engineer,d004,Production,1985-11-14,9999-01-01
10372,Anneli,Frijda,Technique Leader,d004,Production,1985-07-30,9999-01-01
10387,Parto,Wrigley,Staff,d009,Customer Service,1987-02-19,9999-01-01
10396,Sibyl,Rahier,Senior Engineer,d005,Development,1986-01-11,9999-01-01
10402,Volkmar,Ebeling,Technique Leader,d006,Quality Management,1987-01-02,9999-01-01
10404,Prodip,Rosti,Senior Engineer,d005,Development,1988-08-28,9999-01-01
10426,Arunas,Luce,Technique Leader,d005,Development,1985-07-06,9999-01-01
10429,Martien,Improta,Senior Engineer,d005,Development,1986-03-09,9999-01-01
10432,Hisao,Tiemann,Staff,d009,Customer Service,1985-04-30,9999-01-01
